# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  103       3.677440141809e-10       1.080170953126e-13      -3.309397491063e-12       0.000000000000e+00       1.000292152022e-11       1.437584086539e-12      -7.317725084147e-15 
  104       3.719019246028e-10       1.098925839143e-13      -3.396842067315e-12       0.000000000000e+00       9.751535493596e-12       1.408563631978e-12      -7.123732554915e-15 
  105       3.760831513506e-10       1.117406552381e-13      -3.484039198281e-12       0.000000000000e+00       9.507496808704e-12       1.380350645534e-12      -6.960582996693e-15 
  106       3.802875882313e-10       1.135595872741e-13      -3.570924923962e-12       0.000000000000e+00       9.270844936645e-12       1.352946078245e-12      -6.826137009847e-15 
  107       3.845150203247e-10       1.153476635562e-13      -3.657435178927e-12       0.000000000000e+00       9.041567645571e-12       1.326344487398e-12      -6.717970514717e-15 
  108       3.887651196961e-10       1.171031742758e-13      -3.743505834114e-12       0.000000000000e+00       8.819599222881e-12       1.300533818397e-12      -6.633367032048e-15 
  109       3.930374411075e-10       1.188244173944e-13      -3.829072738619e-12       0.000000000000e+00       8.604818697426e-12       1.275495186635e-12      -6.569309963420e-15 
  110       3.973314177301e-10       1.205096997572e-13      -3.914071761506e-12       0.000000000000e+00       8.397048061699e-12       1.251202659368e-12      -6.522474871680e-15 
  111       4.016463568560e-10       1.221573382061e-13      -3.998438833594e-12       0.000000000000e+00       8.196050494045e-12       1.227623037581e-12      -6.489221761371e-15 
  112       4.059814356103e-10       1.237656606932e-13      -4.082109989263e-12       0.000000000000e+00       8.001528580850e-12       1.204715637860e-12      -6.465587359165e-15 
  113       4.103356966632e-10       1.253330073936e-13      -4.165021408244e-12       0.000000000000e+00       7.813122538749e-12       1.182432074270e-12      -6.447277394290e-15 
  114       4.147080439418e-10       1.268577318188e-13      -4.247109457427e-12       0.000000000000e+00       7.630408436820e-12       1.160716040215e-12      -6.429658878964e-15 
  115       4.190972383419e-10       1.283382019302e-13      -4.328310732648e-12       0.000000000000e+00       7.452896418783e-12       1.139503090318e-12      -6.407752388823e-15 
  116       4.235020678379e-10       1.297728296297e-13      -4.408560542935e-12       0.000000000000e+00       7.280138105665e-12       1.118735405056e-12      -6.377249080670e-15 
  117       4.279218904409e-10       1.311601609218e-13      -4.487788064780e-12       0.000000000000e+00       7.112067418753e-12       1.098408587517e-12      -6.337718527930e-15 
  118       4.323561495090e-10       1.324987988551e-13      -4.565920674465e-12       0.000000000000e+00       6.948698048719e-12       1.078530173120e-12      -6.289778216724e-15 
  119       4.368042025403e-10       1.337873774745e-13      -4.642885480625e-12       0.000000000000e+00       6.790017179280e-12       1.059105071211e-12      -6.234105032185e-15 
  120       4.412653184268e-10       1.350245631855e-13      -4.718609352276e-12       0.000000000000e+00       6.635984674745e-12       1.040135479409e-12      -6.171436599341e-15 
  121       4.457386747085e-10       1.362090561182e-13      -4.793018946844e-12       0.000000000000e+00       6.486532267551e-12       1.021620797954e-12      -6.102572623998e-15 
  122       4.502233548273e-10       1.373395914913e-13      -4.866040738185e-12       0.000000000000e+00       6.341562745816e-12       1.003557544044e-12      -6.028376233629e-15 
